visit_type,name,country,locale,remarks,date
president,Theodore Roosevelt,Panama,"Colon, Panama City",To inspect construction of Panama Canal. First visit abroad by any President or President-elect. Departed the U.S. November 9; returned to U.S. November 26.,"November 14â€“17, 1906"
president,William Howard Taft,Panama,"Colon, Panama City",Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as President-elect.],"January 29â€“February 7, 1909"
president,William Howard Taft,Mexico,Ciudad Juarez,Part of an exchange of visits with President Diaz across the border.,"October 16, 1909"
president,Woodrow Wilson,United Kingdom,Bermuda,Vacation. [Visit made as President-elect.],"November 18–December 13, 1912"
president,Woodrow Wilson,France,"Paris, Chaumont",Attended Preliminary to the Paris Peace Conference. Departed the U.S. December 4.,"December 14–25, 1918"
president,Woodrow Wilson,United Kingdom,"London, Carlisle, Manchester",Met with Prime Minister Lloyd George and King George V.,"December 26–31, 1918"
president,Woodrow Wilson,France,Paris,Stopover en route to Italy.,"December 31, 1918–January 1, 1919"
president,Woodrow Wilson,Italy,"Rome, Genoa, Milan, Turin",Met with King Victor Emnanuel III and Prime Minister Orlando.,"January 1–6, 1919"
president,Woodrow Wilson,Vatican City,,Audience with Pope Benedict XV.,"January 4, 1919"
president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Arrived In the U.S. February 24.,"January 7–February 14, 1919"
president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Departed the U.S. March 5.,"March 14–June 18, 1919"
president,Woodrow Wilson,Belgium,"Brussels, Charleroi, Malines, Louvain","Met with King Albert, addressed Parliament.","June 18–19, 1919"
president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Returned to U.S. July 8.,"June 20–28, 1919"
president,Warren G. Harding,Panama,"Colon, Baihos",Informal visit to Canal Zone. [Visit made as President-elect.],"November 24, 1920"
president,Warren G. Harding,United Kingdom,Kingston (Jamaica),Stopped while returning to the U.S. [Visit made as President-elect.],"November 30, 1920"
president,Warren G. Harding,Canada,Vancouver,Official reception during return from Alaska.,"July 26, 1923"
president,Calvin Coolidge,Cuba,Havana,Addressed the Sixth International Conference of American States.,"January 15â€“17, 1928"
president,Herbert C. Hoover,Honduras,Amapala,Good will trip. [Visit made as President-elect.],"November 26, 1928"
president,Herbert C. Hoover,El Salvador,Cutuco,Good will trip. [Visit made as President-elect.],"November 26, 1928"
president,Herbert C. Hoover,Nicaragua,Corinto,Good will trip. [Visit made as President-elect.],"November 27, 1928"
president,Herbert C. Hoover,Costa Rica,San Jose,Good will trip. [Visit made as President-elect.],"November 28, 1928"
president,Herbert C. Hoover,Ecuador,Guayaquil,Good will trip. [Visit made as President-elect.],"December 1, 1928"
president,Herbert C. Hoover,Peru,Lima,Good will trip. [Visit made as President-elect.],"December 5, 1928"
president,Herbert C. Hoover,Chile,"Antofagasta, Santiago",Good will trip. [Visit made as President-elect.],"December 8–11, 1928"
president,Herbert C. Hoover,Argentina,Buenos Aires,Good will trip. [Visit made as President-elect.],"December 13–15, 1928"
president,Herbert C. Hoover,Uruguay,Montevideo,Good will trip. [Visit made as President-elect.],"December 16–18, 1928"
president,Herbert C. Hoover,Brazil,Rio de Janeiro,Good will trip. [Visit made as President-elect.],"December 21–23, 1928"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip. [Visit made as President-elect.],"February 6–14, 1933"
president,Franklin D. Roosevelt,Canada,Campobello Island,Vacation.,"June 29–July 1, 1933"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,"March 29–April 11, 1934"
president,Franklin D. Roosevelt,Haiti,Cap Haitien,Informal visit en route to vacation in Hawaii.,"July 5–6, 1934"
president,Franklin D. Roosevelt,Colombia,Cartagena,Informal visit en route to vacation in Hawaii.,"July 10, 1934"
president,Franklin D. Roosevelt,Panama,Panama City,Informal visit en route to vacation in Hawaii.,"July 11–12, 1934"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,"March 27–April 6, 1935"
president,Franklin D. Roosevelt,Panama,Balboa,"Informal visit with President Arias while returning to Washington, D.C. from West Coast.","October 16, 1935"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,"March 24–April 7, 1936"
president,Franklin D. Roosevelt,Canada,Campobello Island,Vacation.,"July 28–30, 1936"
president,Franklin D. Roosevelt,Canada,Quebec,Official visit; met with Governor General Lord Tweedsmuir.,"July 31, 1936"
president,Franklin D. Roosevelt,United Kingdom,Trinidad,Stopped on the way to South America.,"November 21, 1936"
president,Franklin D. Roosevelt,Brazil,Rio de Janeiro,Addressed Brazilian Congress.,"November 27, 1936"
president,Franklin D. Roosevelt,Argentina,Buenos Aires,Attended session of Inter-American Conference for the Maintenance of Peace.,"November 30–December 2, 1936"
president,Franklin D. Roosevelt,Uruguay,Montevideo,Official visit; met with President Terra.,"December 3, 1936"
president,Franklin D. Roosevelt,United Kingdom,Trinidad,Stopped while returning to the United States.,"December 11, 1936"
president,Franklin D. Roosevelt,Canada,Victoria,Met with the Lieutenant Governor of British Columbia Eric W. Hamber.,"September 30, 1937"
president,Franklin D. Roosevelt,Panama,Balboa,Informal visit with President Arosemena during vacation in the Caribbean.,"August 4–5, 1938"
president,Franklin D. Roosevelt,Canada,Kingston,Received honorary degree from Queens University and dedicated Thousand Islands Bridge.,"August 18, 1938"
president,Franklin D. Roosevelt,Canada,"Campobello Island (Nova Scotia), Sydney (Nova Scotia)",Fishing trip.,"August 14–16, 1939"
president,Franklin D. Roosevelt,United Kingdom,"Bay of Islands (Newfoundland), Bonne Bay (Newfoundland)",Fishing trip.,"August 17–20, 1939"
president,Franklin D. Roosevelt,Canada,Halifax,Stopped while returning to the United States.,"August 21–23, 1939"
president,Franklin D. Roosevelt,Panama,"Cristobal, Balboa",Met informally with President Boyd during vacation.,"February 27, 1940"
president,Franklin D. Roosevelt,United Kingdom,Jamaica,Inspected British base sites for possible American use.,"December 5, 1940"
president,Franklin D. Roosevelt,United Kingdom,St. Lucia,Inspected British base sites for possible American use.,"December 8, 1940"
president,Franklin D. Roosevelt,France,Martinique,Conferred with U.S. officials.,"December 8, 1940"
president,Franklin D. Roosevelt,United Kingdom,Antigua,Inspected British base sites for possible American use.,"December 9, 1940"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,"Inspected British base sites for possible American use. Met with the Duke of Windsor at Eleutheria Island, December 13. Returned to the U.S. December 14.","December 12–13, 1940"
president,Franklin D. Roosevelt,United Kingdom,Argentia (Newfoundland),Attended conference with Prime Minister Churchill. Announced the Atlantic Charter.,"August 9–12, 1941"
president,Franklin D. Roosevelt,United Kingdom,Trinidad,Overnight stop en route to Casablanca.,"January 11, 1943"
president,Franklin D. Roosevelt,Brazil,Belem,Overnight stop en route to Casablanca.,"January 12, 1943"
president,Franklin D. Roosevelt,United Kingdom,Bathurst (The Gambia),Overnight stop en route to Casablanca.,"January 13, 1943"
president,Franklin D. Roosevelt,Morocco,Casablanca,Casablanca Conference with British Prime Minister Churchill.,"January 14–25, 1943"
president,Franklin D. Roosevelt,United Kingdom,Bathurst (The Gambia),Overnight stop en route from Casablanca.,"January 25, 1943"
president,Franklin D. Roosevelt,Liberia,Monrovia,Informal visit; met with President Barclay.,"January 26–27, 1943"
president,Franklin D. Roosevelt,Brazil,Natal,Informal visit; met with President Vargas.,"January 28, 1943"
president,Franklin D. Roosevelt,United Kingdom,Trinidad,Overnight stop en route from Casablanca.,"January 29, 1943"
president,Franklin D. Roosevelt,Mexico,Monterrey,Part of an exchange of visits with President Avila across the border.,"April 20, 1943"
president,Franklin D. Roosevelt,Canada,"Quebec, Ottawa",Attended First Quebec Conference with British Prime Minister Churchill.,"August 17–25, 1943"
president,Franklin D. Roosevelt,France,Oran (Algeria),Disembarked en route to Cairo.,"November 20, 1943"
president,Franklin D. Roosevelt,Tunisia,Tunis,Overnight stop en route to Cairo.,"November 20–21, 1943"
president,Franklin D. Roosevelt,Egypt,Cairo,Attended First Cairo Conference with British Prime Minister Churchill and Chinese Generalissimo Chiang Kai-shek.,"November 22–26, 1943"
president,Franklin D. Roosevelt,Iran,Tehran,Attended Tehran Conference with Soviet Premier Stalin and British Prime Minister Churchill.,"November 27–December 2, 1943"
president,Franklin D. Roosevelt,Egypt,Cairo,Attended Second Cairo Conference with British Prime Minister Churchill and Turkish President Inonu.,"December 2–7, 1943"
president,Franklin D. Roosevelt,Tunisia,Tunis,Conferred with General Eisenhower.,"December 7–9, 1943"
president,Franklin D. Roosevelt,United Kingdom,Malta,Visited Allied military installations.,"December 8, 1943"
president,Franklin D. Roosevelt,Italy,Castel Ventrano (Sicily),Visited Allied military installations.,"December 8, 1943"
president,Franklin D. Roosevelt,France,Dakar (Senegal),Re-embarked for the U.S.,"December 9, 1943"
president,Franklin D. Roosevelt,Canada,Quebec,Attended Second Quebec Conference with British Prime Minister Churchill.,"September 11–16, 1944"
president,Franklin D. Roosevelt,United Kingdom,Malta,Attended Malta Conference with Prime Minister Churchill.,"February 2, 1945"
president,Franklin D. Roosevelt,U.S.S.R.,Yalta,Attended Yalta Conference with Soviet Premier Stalin and British Prime Minister Churchill.,"February 3–12, 1945"
president,Franklin D. Roosevelt,Egypt,"Great Bitter Lake, Suez Canal, Alexandria","Met with King Farouk, Ethiopian Emperor Haile Selassie, Saudi Arabian King Ibn Saud, and British Prime Minister Churchill.","February 13–15, 1945"
president,Franklin D. Roosevelt,France,Algiers (Algeria),"Briefed U.S. Ambassadors to the United Kingdom, France, and Italy on the Yalta Conference.","February 18, 1945"
president,Harry S. Truman,Belgium,"Antwerp, Brussels",Disembarked en route to Potsdam.,"July 15, 1945"
president,Harry S. Truman,Germany,Potsdam,Potsdam Conference with British Prime Ministers Churchill and Attlee and Soviet Premier Stalin.,"July 16–August 2, 1945"
president,Harry S. Truman,United Kingdom,Plymouth,Informal meeting with King George VI.,"August 2, 1945"
president,Harry S. Truman,United Kingdom,Bermuda,"Informal visit; met with the Governor of Bermuda, Admiral Sir Ralph Leatham, K.C.B. and inspected U.S. military facilities.","August 22–30, 1946"
president,Harry S. Truman,Mexico,"Mexico, D.F.",State visit; met with President Alerman.,"March 3–6, 1947"
president,Harry S. Truman,Canada,Ottawa,Official visit; met with Governor General Alexander and Prime Minister Mackenzie King.,"June 10–12, 1947"
president,Harry S. Truman,Brazil,Rio de Janeiro,State visit; addressed Rio de Janiero Conference for the Maintenance of Continental Peace and Security and the Brazilian Congress.,"September 1–7, 1947"
president,Dwight D. Eisenhower,"Korea, Republic of",Seoul,Visit to Korean combat zone. [Visit made as President-elect.],"December 2–5, 1952"
president,Dwight D. Eisenhower,Mexico,Nuevo Guerrero,Dedicated Falcon Dam.,"October 19, 1953"
president,Dwight D. Eisenhower,Canada,Ottawa,State visit; addressed joint session of Parliament.,"November 13–15, 1953"
president,Dwight D. Eisenhower,United Kingdom,Bermuda,Attended Bermuda Conference with Prime Minister Churchill and French President Laniel.,"December 4–8, 1953"
president,Dwight D. Eisenhower,Switzerland,Geneva,"Summit conference with British Prime Minister Eden, French Premier Faure, and Soviet Premier Bulganin.","July 16–23, 1955"
president,Dwight D. Eisenhower,Panama,Panama City,Attended a meeting of the Presidents of the American Republics.,"July 21–23, 1956"
president,Dwight D. Eisenhower,United Kingdom,Bermuda,Met with Prime Minister Macmillan.,"March 20–24, 1957"
president,Dwight D. Eisenhower,France,Paris,Attended meeting of NATO Heads of Government.,"December 14–19, 1957"
president,Dwight D. Eisenhower,Canada,Ottawa,Informal visit; addressed joint session of Parliament.,"July 8–11, 1958"
president,Dwight D. Eisenhower,Mexico,Acapulco,Informal meeting with President Lopez Mateos.,"February 19–20, 1959"
president,Dwight D. Eisenhower,Canada,Montreal,Joined Queen Elizabeth II in ceremony opening St. Lawrence Seaway.,"June 26, 1959"
president,Dwight D. Eisenhower,"Germany, Federal Republic of",Bonn,Informal meeting with Chancellor Adenauer and President Heuss.,"August 26–27, 1959"
president,Dwight D. Eisenhower,United Kingdom,"London, Balmoral, Chequers",Informal visit; met Prime Minister Macmillan and Queen Elizabeth II.,"August 27–September 2, 1959"
president,Dwight D. Eisenhower,France,Paris,Informal meeting with President De Gaulle and Italian Premier Segni. Addressed North Atlantic Council.,"September 2–4, 1959"
president,Dwight D. Eisenhower,United Kingdom,Culzean Castle,Rested before returning to the United States.,"September 4–7, 1959"
president,Dwight D. Eisenhower,Italy,Rome,Informal visit; met with President Gronchi.,"December 4–6, 1959"
president,Dwight D. Eisenhower,Vatican City,,Audience with Pope John XXIII.,"December 6, 1959"
president,Dwight D. Eisenhower,Turkey,Ankara,Informal visit; met with President Bayar.,"December 6–7, 1959"
president,Dwight D. Eisenhower,Pakistan,Karachi,Informal visit; met with President Ayub Khan.,"December 7–9, 1959"
president,Dwight D. Eisenhower,Afghanistan,Kabul,Informal visit; met with King Mohammed Zahir.,"December 9, 1959"
president,Dwight D. Eisenhower,India,"New Delhi, Agra",Met with President Prasad and Prime Minister Nehru. Addressed Parliament.,"December 9–14, 1959"
president,Dwight D. Eisenhower,Iran,Tehran,Met with Shah Mohammed Reza Pahlavi and addressed Parliament.,"December 14, 1959"
president,Dwight D. Eisenhower,Greece,Athens,"Official visit; met with King Paul, Prime Minister Karamanlis, and addressed Parliament. Traveled by sea from Athens to Tunis.","December 14–15, 1959"
president,Dwight D. Eisenhower,Tunisia,Tunis,Met with President Bourguiba.,"December 17, 1959"
president,Dwight D. Eisenhower,France,"Toulon, Paris","Conference with President De Gaulle, British Prime Minister Macmillan, and German Chancellor Adenauer.","December 18–21, 1959"
president,Dwight D. Eisenhower,Spain,Madrid,Met with Generalissimo Franco.,"December 21–22, 1959"
president,Dwight D. Eisenhower,Morocco,Casablanca,Met with King Mohammed V.,"December 22, 1959"
president,Dwight D. Eisenhower,Brazil,"Brasilia, Rio de Janeiro, Sao Paulo",Met with President Kubitschek and addressed Brazilian Congress.,"February 23–26, 1960"
president,Dwight D. Eisenhower,Argentina,"Buenos Aires, Mar del Plata, San Carlos de Bariloche",Met with President Frondizi.,"February 26–29, 1960"
president,Dwight D. Eisenhower,Chile,Santiago,Met with President Alessandri.,"February 29–March 2, 1960"
president,Dwight D. Eisenhower,Uruguay,Montevideo,Met with President Nardone. Returned to the U.S. via Buenos Aires and Surinam.,"March 2–3, 1960"
president,Dwight D. Eisenhower,France,Paris,"Conference with President De Gaulle, British Prime Minister Macmillan, and Soviet Premier Khrushchev.","May 15–19, 1960"
president,Dwight D. Eisenhower,Portugal,Lisbon,Official visit; met with President Thomaz.,"May 19–20, 1960"
president,Dwight D. Eisenhower,Philippines,Manila,State visit; met with President Garcia. Traveled by sea from Manila to Taipei.,"June 14–16, 1960"
president,Dwight D. Eisenhower,Republic of China,Taipei,Met with President Chiang Kai-shek.,"June 18–19, 1960"
president,Dwight D. Eisenhower,"Korea, Republic of",Seoul,Met with Prime Minister Chung and addressed the National Assembly.,"June 19–20, 1960"
president,Dwight D. Eisenhower,Mexico,Ciudad Acuna,Informal visit; met with President Lopez Mateos.,"October 24, 1960"
president,John F. Kennedy,Canada,Ottawa,State visit; addressed joint session of Parliament.,"May 16–18, 1961"
president,John F. Kennedy,France,Paris,State visit; addressed North Atlantic Council and met with President De Gaulle.,"May 31–June 3, 1961"
president,John F. Kennedy,Austria,Vienna,Met with President Sehaerf and held talks with Soviet Premier Khrushchev.,"June 3–4, 1961"
president,John F. Kennedy,United Kingdom,London,Private visit; met with Queen Elizabeth II and Prime Minister Macmillan.,"June 4–5, 1961"
president,John F. Kennedy,Venezuela,Caracas,Met with President Betancourt.,"December 16–17, 1961"
president,John F. Kennedy,Colombia,Bogota,Met with President Lleras Camargo.,"December 17, 1961"
president,John F. Kennedy,United Kingdom,Bermuda,Met with Prime Minister Macmillan.,"December 21–22, 1961"
president,John F. Kennedy,Mexico,"Mexico, D.F.",State visit; met with President Lopez Mateos.,"June 29–July 1, 1962"
president,John F. Kennedy,United Kingdom,Nassau (The Bahamas),Conferred with Prime Minister Macmillan; concluded Nassau agreement on nuclear defense systems.,"December 18–21, 1962"
president,John F. Kennedy,Costa Rica,San Jose,Attended Conference of Presidents of the Central American Republics.,"March 18–20, 1963"
president,John F. Kennedy,"Germany, Federal Republic of","Bonn, Cologne, Frankfurt, Wiesbaden",Met with Chancellor Adenauer and other officials.,"June 23–25, 1963"
president,John F. Kennedy,Germany,West Berlin,Delivered several public addresses.,"June 26, 1963"
president,John F. Kennedy,Ireland,"Dublin, Wexford, Cork, Galway, Limerick",Addressed Parliament and visited ancestral home.,"June 26–29, 1963"
president,John F. Kennedy,United Kingdom,"Birch Grove, Sussex",Informal visit with Prime Minister Macmillan at his home.,"June 29–30, 1963"
president,John F. Kennedy,Italy,"Rome, Naples","Met with President Segni, Italian and NATO officials.","July 1–2, 1963"
president,John F. Kennedy,Vatican City,,Audience with Pope Paul VI.,"July 2, 1963"
president,Lyndon B. Johnson,Canada,Vancouver,Informal visit; met with Prime Minister Pearson in ceremonies related to the Columbia River Treaty.,"September 16, 1964"
president,Lyndon B. Johnson,Mexico,"Mexico, D.F.",Informal visit; met with President Gustavo Diaz Ordaz.,"April 14–15, 1966"
president,Lyndon B. Johnson,Canada,"Campobello Island, Chamcook",Laid cornerstone at Roosevelt-Campobello International Park and conferred informally with Prime Minister Pearson.,"August 21–22, 1966"
president,Lyndon B. Johnson,New Zealand,Wellington,State visit; met with Prime Minister Holyoake.,"October 19–20, 1966"
president,Lyndon B. Johnson,Australia,"Canberra, Melbourne, Sydney, Brisbane, Townsville",State visit; met with Governor General Casey and Prime Minister Holt.,"October 20–23, 1966"
president,Lyndon B. Johnson,Philippines,"Manila, Los Banos, Corregidor","Attended summit conference with the Heads of State and Government of Australia, Korea, New Zealand, the Philippines, Thailand, and Vietnam.","October 24–26, 1966"
president,Lyndon B. Johnson,Vietnam,Cam Ranh Bay,Visited U.S. military personnel.,"October 26, 1966"
president,Lyndon B. Johnson,Thailand,Bangkok,State visit; met with King Bhumibol Adulyadej.,"October 27–30, 1966"
president,Lyndon B. Johnson,Malaysia,Kuala Lumpur,State visit; met with Prime Minister Rahrman.,"October 30–31, 1966"
president,Lyndon B. Johnson,"Korea, Republic of","Seoul, Suwon",State visit; met with President Park and Prime Minister Chung.,"October 31–November 2, 1966"
president,Lyndon B. Johnson,Mexico,Ciudad Acuna,Informal meeting with President Diaz Ordaz. Inspected construction of Arnistad Dam.,"December 3, 1966"
president,Lyndon B. Johnson,Uruguay,Punta del Este,Summit meeting with Latin American chiefs of state.,"April 11–14, 1967"
president,Lyndon B. Johnson,Suriname,Paramaribo,Refueling stop en route from Uruguay.,"April 14, 1967"
president,Lyndon B. Johnson,Germany,Bonn,Attended funeral of Chancellor Adenauer and conversed with various heads of state.,"April 23–26, 1967"
president,Lyndon B. Johnson,Canada,"Montreal, Ottawa",Attended Expo 67 and conferred informally with Prime Minister Pearson.,"May 25, 1967"
president,Lyndon B. Johnson,Mexico,Ciudad Juarez,Attended transfer of El Chamizal from the US. to Mexico and conferred with President Diaz Ordaz.,"October 28, 1967"
president,Lyndon B. Johnson,Australia,Canberra,Attended funeral of Prime Minister Holt and conferred with other attending heads of state.,"December 21–22, 1967"
president,Lyndon B. Johnson,Thailand,Khorat,Visited US. military personnel.,"December 23, 1967"
president,Lyndon B. Johnson,Vietnam,Cam Ranh Bay,Visited U.S. military personnel.,"December 23, 1967"
president,Lyndon B. Johnson,Pakistan,Karachi,Met with President Ayub Khan.,"December 23, 1967"
president,Lyndon B. Johnson,Italy,Rome,Met with President Saragat and Prime Minister Moro.,"December 23, 1967"
president,Lyndon B. Johnson,Vatican City,,Audience with Pope Paul VI.,"December 23, 1967"
president,Lyndon B. Johnson,El Salvador,San Salvador,Attended meeting of the Presidents of Central American Republics.,"July 8, 1968"
president,Lyndon B. Johnson,Nicaragua,Managua,Informal visit; met with President Somoza.,"July 8, 1968"
president,Lyndon B. Johnson,Costa Rica,San Jose,Informal visit; met with President Trejos.,"July 8, 1968"
president,Lyndon B. Johnson,Honduras,San Pedro Sula,Informal visit; met with President Lopez Arrelano.,"July 8, 1968"
president,Lyndon B. Johnson,Guatemala,Guatemala City,Informal visit; met with President Mendez.,"July 8, 1968"
president,Richard M. Nixon,Belgium,Brussels,Attended 23d meeting of North Atlantic Council; met with King Baudouin I.,"February 23–24, 1969"
president,Richard M. Nixon,United Kingdom,London,Informal visit; held conversations with Prime Minister Wilson. Received by Queen Elizabeth II.,"February 24–26, 1969"
president,Richard M. Nixon,Germany,West Berlin,Addressed the Bundestag on February 26.,"February 26–27, 1969"
president,Richard M. Nixon,Italy,Rome,"Met with President Saragat, Prime Minister Rumor, and other officials.","February 27–28, 1969"
president,Richard M. Nixon,France,Paris,Met with President De Gaulle.,"February 28–March 2, 1969"
president,Richard M. Nixon,Vatican City,,Audience with Pope Paul VI.,"March 2, 1969"
president,Richard M. Nixon,Philippines,Manila,State visit; met with President Marcos.,"July 26–27, 1969"
president,Richard M. Nixon,Indonesia,Jakarta,State visit; met with President Suharto.,"July 27–28, 1969"
president,Richard M. Nixon,Thailand,Bangkok,State visit; met with King Bhumibol Adulyadej.,"July 28–30, 1969"
president,Richard M. Nixon,Vietnam,"Saigon, Di An",Met with President Thieu and visited U.S. military personnel.,"July 30, 1969"
president,Richard M. Nixon,India,New Delhi,State visit; met with Acting President Hidayatullah.,"July 31–August 1, 1969"
president,Richard M. Nixon,Pakistan,Lahore,State visit; met with President Yahya Khan.,"August 1–2, 1969"
president,Richard M. Nixon,Romania,Bucharest,Official visit; met with President Ceausescu.,"August 2–3, 1969"
president,Richard M. Nixon,United Kingdom,Mildenhall Air Force Base,Informal meeting with Prime Minister Wilson.,"August 3, 1969"
president,Richard M. Nixon,Mexico,Ciudad Acuna,Dedicated Aimistad Dam.,"September 8, 1969"
president,Richard M. Nixon,Mexico,Puerto Vallarta,Official visit; met with President Diaz Ordaz.,"August 20–21, 1970"
president,Richard M. Nixon,Italy,"Rome, Naples",Official visit; met with President Saragat; visited NATO Southern Command.,"September 27–30, 1970"
president,Richard M. Nixon,Vatican City,,Audience with Pope Paul VI.,"September 28, 1970"
president,Richard M. Nixon,Yugoslavia,Belgrade,State visit; met with President Tito.,"September 30–October 2, 1970"
president,Richard M. Nixon,Spain,Madrid,State visit; met with Generalissimo Franco.,"October 2–3, 1970"
president,Richard M. Nixon,United Kingdom,Chequers,Met informally with Queen Elizabeth II and Prime Minister Heath.,"October 3, 1970"
president,Richard M. Nixon,Ireland,"Limerick, Timahoe, Dublin",State visit; met with Prime Minister Lynch.,"October 3–5, 1970"
president,Richard M. Nixon,France,Paris,Attended memorial services for former President De Gaulle.,"November 12, 1970"
president,Richard M. Nixon,Portugal,Terceira Island (Azores),Discussed international monetary problems with French President Pompidou and Portuguese Prime Minister Caetano.,"December 13–14, 1971"
president,Richard M. Nixon,United Kingdom,Bermuda,Met with British Prime Minister Heath.,"December 20–21, 1971"
president,Richard M. Nixon,"China, People’s Republic of","Shanghai, Peking, Hangchow",State visit; met with Chairman Mao Tse-tung and Premier Chou En-lai.,"February 21–28, 1972"
president,Richard M. Nixon,Canada,Ottawa,State visit; met with Governor General Michener and Prime Minister Trudeau; addressed Parliament.,"April 13–15, 1972"
president,Richard M. Nixon,Austria,Salzburg,Informal visit; met with Chancellor Kreisky.,"May 20–22, 1972"
president,Richard M. Nixon,U.S.S.R.,"Moscow, Leningrad, Kiev",State visit; met with Premier Kosygin and General Secretary Brezhnev. Signed SALT I and ABM Treaties.,"May 22–30, 1972"
president,Richard M. Nixon,Iran,Tehran,Official visit; met with Shah Mohammed Reza Pahlavi.,"May 30–31, 1972"
president,Richard M. Nixon,Poland,Warsaw,Official visit; met with First Secretary Gierek.,"May 31–June 1, 1972"
president,Richard M. Nixon,Iceland,Reykjavik,"Met with President Eldjarn and Prime Minister Johanneson, and French President Pompidou.","May 31–June 1, 1973"
president,Richard M. Nixon,France,Paris,"Attended memorial services for former President Pompidou. Met afterward with interim President Poher, Italian Prime Minister Leone, British Prime Minister Wilson, West German Chancellor Brandt, Danish Prime Minister Hartling, Soviet President Podgorny, and Japanese Prime Minister Tanaka.","April 5–7, 1974"
president,Richard M. Nixon,Austria,Salzburg,Met with Chancellor Kreisky.,"June 10–12, 1974"
president,Richard M. Nixon,Egypt,"Cairo, Alexandria",Met with President Sadat.,"June 12–14, 1974"
president,Richard M. Nixon,Saudi Arabia,Jidda,Met with King Faisal.,"June 14–15, 1974"
president,Richard M. Nixon,Syria,Damascus,Met with President Assad.,"June 15–16, 1974"
president,Richard M. Nixon,Israel,"Tel Aviv, Jerusalem",Met with President Katzir and Prime Minister Rabin.,"June 16–17, 1974"
president,Richard M. Nixon,Jordan,Amman,State visit; met with King Hussein.,"June 17–18, 1974"
president,Richard M. Nixon,Portugal,Lajes Field (The Azores),Met with President Spinola.,"June 18–19, 1974"
president,Richard M. Nixon,Belgium,Brussels,"Attended North Atlantic Council meeting, and met separately with King Baudonin and Queen Fabiola, Prime Minister Tindemans; and with German Chancellor Schmidt, British Prime Minister Wilson, and Italian Prime Minister Rumor.","June 25–26, 1974"
president,Richard M. Nixon,U.S.S.R.,"Moscow, Minsk, Oreanda","Official visit; met with General Secretary Brezhnev, President Podgorny, and Premier Kosygin.","June 27–July 3, 1974"
president,Gerald R. Ford,Mexico,"Nogales, Magdalena de Kino",Met with President Echeverria and laid a wreath at the tomb of Padre Eusebio Kino.,"October 21, 1974"
president,Gerald R. Ford,Japan,"Tokyo, Kyoto",State visit; met with Prime Minister Tanaka.,"November 18–22, 1974"
president,Gerald R. Ford,"Korea, Republic of",Seoul,Met with President Park.,"November 22–23, 1974"
president,Gerald R. Ford,U.S.S.R.,Vladivostok,Met with General Secretary Brezhnev and discussed limitations of strategic arms.,"November 23–24, 1974"
president,Gerald R. Ford,France,Martinique,Met with President Giscard d'Estaing.,"December 14–16, 1974"
president,Gerald R. Ford,Belgium,Brussels,"Attended NATO summit meeting, addressed the North Atlantic Council, and met separately with NATO Heads of State and Government.","May 28–31, 1975"
president,Gerald R. Ford,Spain,Madrid,Met with Generalissimo Franco. Received keys to city from Mayor of Madrid.,"May 31–June 1, 1975"
president,Gerald R. Ford,Austria,Salzburg,Met with Chancellor Kreisky and with Egyptian President Sadat.,"June 1–3, 1975"
president,Gerald R. Ford,Italy,Rome,Met with President Leone and Prime Minister Moro.,"June 3, 1975"
president,Gerald R. Ford,Vatican City,,Audience with Pope Paul VI.,"June 3, 1975"
president,Gerald R. Ford,"Germany, Federal Republic of","Bonn, Linz",Met with President Scheel and Chancellor Schmidt.,"July 26–28, 1975"
president,Gerald R. Ford,Poland,"Warsaw, Krakow",Official visit; met with First Secretary Gierek.,"July 28–29, 1975"
president,Gerald R. Ford,Finland,Helsinki,"Attended opening session of the Conference on Security and Cooperation in Europe. Met with the Heads of State and Government of Finland, Great Britain, Turkey, West Germany, France, Italy, and Spain. Also met with Soviet General Secretary Brezhnev. Signed the Final Act of the Conference on August 1.","July 29–August 2, 1975"
president,Gerald R. Ford,Romania,"Bucharest, Sinaia",Official visit; met with President Ceausescu.,"August 2–3, 1975"
president,Gerald R. Ford,Yugoslavia,Belgrade,Official visit; met with President Tito and Prime Minister Bijedic.,"August 3–4, 1975"
president,Gerald R. Ford,France,Rambouillet,"Attended Economic Summit meeting of the Heads of State and Government of France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","November 15–17, 1975"
president,Gerald R. Ford,"China, People’s Republic of",Peking,Official visit; met with Chairman Mao Tse-tung and Vice Premier Teng Hsiao-ping.,"December 1–5, 1975"
president,Gerald R. Ford,Indonesia,Jakarta,Official visit; met with President Suharto.,"December 5–6, 1975"
president,Gerald R. Ford,Philippines,Manila,Official visit; met with President Marcos.,"December 6–7, 1975"
